date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:33:25	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202019%2009:03:21%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/images/loading.gif	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/images/loading.f5.delayed	(from http://188.95.36.104:8080/cwc/staticResources/sites/default/files/css/lightbox.min.css)
14:33:25	28874/28874	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202019%2009:03:16%20GMT	http://188.95.36.104:8080/cwc/Regional%20Profile-Kochi.html	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/Regional%20Profile-Kochi.html	(from http://188.95.36.104:8080/cwc/Regional-Offices.html)
14:33:28	47615/47615	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202019%2009:03:18%20GMT	http://188.95.36.104:8080/cwc/Kochi%20Kerala%20Region.html	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/Kochi%20Kerala%20Region.html	(from http://188.95.36.104:8080/cwc/Regional-Offices.html)
14:33:28	80919/80919	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202019%2009:03:16%20GMT	http://188.95.36.104:8080/cwc/Chandigarh(%20Punjab,UT%20Chandigarh)%20Region.html	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/Chandigarh(%20Punjab,UT%20Chandigarh)%20Region.html	(from http://188.95.36.104:8080/cwc/Regional-Offices.html)
14:33:30	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202019%2009:03:25%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/cwc_act_1962_270317.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/cwc_act_1962_270317.f9.delayed	(from http://188.95.36.104:8080/cwc/RTI)
14:33:31	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202019%2009:03:27%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/cwc_amendment.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/cwc_amendment.fa.delayed	(from http://188.95.36.104:8080/cwc/RTI)
14:33:32	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202019%2009:03:27%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/staff_reg1986.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/staff_reg1986.fb.delayed	(from http://188.95.36.104:8080/cwc/RTI)
14:33:33	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202019%2009:03:28%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/ammendment_200514.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/ammendment_200514.fc.delayed	(from http://188.95.36.104:8080/cwc/RTI)
14:33:41	81080/81080	---M--	200	added ('OK')	application/pdf	date:Fri,%2024%20May%202019%2009:46:42%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/manual%204.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/manual%204.pdf	(from http://188.95.36.104:8080/cwc/RTI)
14:33:43	107552/107552	---M--	200	added ('OK')	application/pdf	date:Fri,%2024%20May%202019%2009:46:52%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/manual%203.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/manual%203.pdf	(from http://188.95.36.104:8080/cwc/RTI)
14:33:43	128531/128531	---M--	200	added ('OK')	application/pdf	date:Fri,%2024%20May%202019%2009:46:42%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/manual%201.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/manual%201.pdf	(from http://188.95.36.104:8080/cwc/RTI)
14:33:44	70150/70150	---M--	200	added ('OK')	application/pdf	date:Fri,%2024%20May%202019%2009:47:10%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/manual%207.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/manual%207.pdf	(from http://188.95.36.104:8080/cwc/RTI)
14:33:50	22874/22874	---M--	200	added ('OK')	application/pdf	date:Fri,%2024%20May%202019%2009:47:16%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/RTI%20918PAY%20(1)2.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/RTI%20918PAY%20(1)2.pdf	(from http://188.95.36.104:8080/cwc/RTI)
14:33:52	96360/96360	---M--	200	added ('OK')	application/pdf	date:Fri,%2024%20May%202019%2009:47:12%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/manual%208.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/manual%208.pdf	(from http://188.95.36.104:8080/cwc/RTI)
14:33:53	13442/13442	---M--	200	added ('OK')	application/pdf	date:Fri,%2024%20May%202019%2009:47:22%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/Manual-XI%20Complied%20Budget.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/Manual-XI%20Complied%20Budget.pdf	(from http://188.95.36.104:8080/cwc/RTI)
14:33:53	28433/28433	---M--	200	added ('OK')	application/pdf	date:Fri,%2024%20May%202019%2009:47:18%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/RTI%20918PAY%20(1)3.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/RTI%20918PAY%20(1)3.pdf	(from http://188.95.36.104:8080/cwc/RTI)
14:34:02	55505/55505	---M--	200	added ('OK')	application/pdf	date:Fri,%2024%20May%202019%2009:47:26%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/manual%2013.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/manual%2013.pdf	(from http://188.95.36.104:8080/cwc/RTI)
14:34:02	68363/68363	---M--	200	added ('OK')	application/pdf	date:Fri,%2024%20May%202019%2009:47:24%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/manual%2012.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/manual%2012.pdf	(from http://188.95.36.104:8080/cwc/RTI)
14:34:04	75283/75283	---M--	200	added ('OK')	application/pdf	date:Fri,%2024%20May%202019%2009:47:30%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/manual%2015.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/manual%2015.pdf	(from http://188.95.36.104:8080/cwc/RTI)
14:35:02	428683/428683	---M--	200	added ('OK')	application/pdf	date:Fri,%2024%20May%202019%2009:47:34%20GMT	http://188.95.36.104:8080/cwc/staticResources/Docs/CO,ROS,CCs-XVI_020119.pdf	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/Docs/CO,ROS,CCs-XVI_020119.pdf	(from http://188.95.36.104:8080/cwc/RTI)
14:35:03	377900/377900	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Jun%202019%2006:48:15%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/styles/slider/public/ahmedabad.jpg	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/styles/slider/public/ahmedabad.jpg	(from http://188.95.36.104:8080/cwc/info_Ahmedabad)
14:35:11	432033/432033	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Jun%202019%2006:48:34%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/styles/slider/public/bangalore.jpg	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/styles/slider/public/bangalore.jpg	(from http://188.95.36.104:8080/cwc/info_Bangalore)
14:35:20	85014/85014	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202019%2009:05:09%20GMT	http://188.95.36.104:8080/cwc/Chennai%20(Tamil%20Nadu,Puduchery,Andaman%20&%20Nicob)%20Region	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/Chennai%20(Tamil%20Nadu,Puduchery,Andaman%20&%20Nicob)%20Region-2.html	(from http://188.95.36.104:8080/cwc/info_Chennai)
14:35:42	606954/606954	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20May%202019%2018:39:04%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/styles/slider/public/Bhopal.jpg	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/styles/slider/public/Bhopal.jpg	(from http://188.95.36.104:8080/cwc/info_Bhopal)
14:35:46	46880/46880	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202019%2009:05:38%20GMT	http://188.95.36.104:8080/cwc/Regional%20Profile%20Delhi%20Region	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/Regional%20Profile%20Delhi%20Region-2.html	(from http://188.95.36.104:8080/cwc/info_DELHI)
14:36:13	411729/411729	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Jun%202019%2006:48:50%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/styles/slider/public/bhubaneshwar.jpg	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/styles/slider/public/bhubaneshwar.jpg	(from http://188.95.36.104:8080/cwc/info_Bhubneshwar)
14:36:17	422476/422476	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Jun%202019%2006:49:02%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/styles/slider/public/chennai.jpg	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/styles/slider/public/chennai.jpg	(from http://188.95.36.104:8080/cwc/info_Chennai)
14:36:37	474672/474672	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Jun%202019%2006:49:13%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/styles/slider/public/delhi.jpg	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/styles/slider/public/delhi.jpg	(from http://188.95.36.104:8080/cwc/info_DELHI)
14:36:41	28288/28288	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202019%2009:06:34%20GMT	http://188.95.36.104:8080/cwc/Regional%20Profile%20-%20Guwahati	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/Regional%20Profile%20-%20Guwahati-2.html	(from http://188.95.36.104:8080/cwc/info_Guwahati)
14:36:43	350104/350104	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Jun%202019%2006:49:27%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/styles/slider/public/hyderabad.jpg	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/styles/slider/public/hyderabad.jpg	(from http://188.95.36.104:8080/cwc/info_Hyderabad)
14:36:45	4389/4389	---M--	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202019%2009:06:41%20GMT	http://188.95.36.104:8080/cwc/akola	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/akola.html	(from http://188.95.36.104:8080/cwc/Mumbai%20Goa%20Region.html)
14:36:46	4389/4389	---M--	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202019%2009:06:41%20GMT	http://188.95.36.104:8080/cwc/ambad	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/ambad.html	(from http://188.95.36.104:8080/cwc/Mumbai%20Goa%20Region.html)
14:37:19	470296/470296	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Jun%202019%2006:49:39%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/styles/slider/public/jaipur.jpg	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/styles/slider/public/jaipur.jpg	(from http://188.95.36.104:8080/cwc/info_Jaipur)
14:37:19	439328/439328	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Jun%202019%2006:49:50%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/styles/slider/public/kolkata.jpg	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/styles/slider/public/kolkata.jpg	(from http://188.95.36.104:8080/cwc/info_Kolkata)
14:37:34	669044/669044	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20May%202019%2018:40:16%20GMT	http://188.95.36.104:8080/cwc/staticResources/sites/default/files/styles/slider/public/mumbai.jpg	C:/My%20Web%20Sites/CWC/188.95.36.104_8080/cwc/staticResources/sites/default/files/styles/slider/public/mumbai.jpg	(from http://188.95.36.104:8080/cwc/info_Mumbai)
